"Adults 15+ years U:33643 S:8017Day Date From To Station ProgrammeTitle Genre AR Viewers Share","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Wed,17/02/2016,1929,1958,ETV,Scandal,Soap,12.1,4082438,38
Sun,28/02/2016,2000,2250,ETV,The Amazing Spiderman,Movi,8,2689932,38.2
Wed,24/02/2016,1900,1928,ETV,Rhythm City,Dram,7.8,2634446,25.8
Sun,07/02/2016,2000,2255,ETV,Casino Royale,Movi,7.7,2582072,39.9
Sun,21/02/2016,1959,2222,ETV,300,Movi,7.4,2491318,32.1
Sun,21/02/2016,1800,1801,ETV,E News Direct Headlines,News,7.3,2444198,28.1
Sun,21/02/2016,1700,1758,ETV,Wwe Wrestling Raw,Spor,7.3,2439014,30.8
Sat,13/02/2016,1930,2132,ETV,Agent Cody Banks Ii:Destination London,Movi,6.8,2276210,28.1
Wed,10/02/2016,2000,2030,ETV,Gold Diggers (Drama),Dram,6.7,2270522,21.5
Sun,14/02/2016,2000,2204,ETV,Rocky Balboa,Movi,6.6,2235025,30.5
Sat,06/02/2016,1930,2132,ETV,Agent Cody Banks,Movi,6.5,2195949,28.6
Sun,21/02/2016,1804,1829,ETV,Mahadi-Lobola,Real,6.4,2158910,26.9
Fri,19/02/2016,2032,2245,ETV,Terminator 3: Rise of the Machines,Movi,6.1,2066528,25.3
Fri,05/02/2016,2100,2105,ETV,The Powerball Draw,Quiz,6,2017613,17.5
Fri,05/02/2016,2031,2243,ETV,Street Kings,Movi,5.7,1905650,23.8
Fri,26/02/2016,2032,2324,ETV,True Lies (Movie),Movi,5.5,1860559,27
Tue,09/02/2016,2135,2204,ETV,Heist(Drama),Dram,5.5,1856514,25.7
Sun,21/02/2016,1930,1958,ETV,How I Met Your Mother,Sitc,5.4,1808859,18.6
Sat,27/02/2016,1930,2123,ETV,Mr Popper's Penguins,Dram,5.3,1776727,20.9
Sat,20/02/2016,1700,1758,ETV,Wwe Wrestling Smackdown,Spor,5,1699012,28
"","","","","","","Adults 15+ years U:33643 S:8017","",""
21/02/2016,1903,2003,MNET,Carte Blanche,Actu,0.9,296281,3.1
07/02/2016,2010,2140,MNET,Paul Blart:Mall Cop,Movi,0.6,211646,2.7
21/02/2016,2008,2217,MNET,Fury,Movi,0.5,172261,2.2
14/02/2016,2008,2139,MNET,Playing it Cool,Movi,0.5,163543,2.1
29/02/2016,1931,2242,MNET,The Oscars 2016,Vari,0.4,130302,1.5
28/02/2016,2010,2152,MNET,Mortdecai,Movi,0.3,107216,1.3
02/02/2016,1934,2029,MNET,Chicago Med,Dram,0.3,98324,1
24/02/2016,1931,1959,MNET,Modern Family,Dram,0.2,83815,0.8
18/02/2016,2031,2127,MNET,Blue Bloods,Dram,0.2,68502,0.7
04/02/2016,1934,2032,MNET,Suits,Dram,0.2,66124,0.7
01/02/2016,2030,2127,MNET,Agentx,Dram,0.2,62207,0.6
22/02/2016,1930,2029,MNET,Grey's Anatomy,Dram,0.2,62402,0.6
01/02/2016,1930,2027,MNET,The Astronauts Wife Club,Dram,0.2,55405,0.6
22/02/2016,2030,2129,MNET,The Fixer (Drama),Dram,0.2,54177,0.5
27/02/2016,1830,1858,MNET,Mom-R,Sitc,0.2,52675,0.8
03/02/2016,2030,2129,MNET,Shades of Blue,Dram,0.2,52310,0.5
04/02/2016,2130,2223,MNET,Criminal Minds,Dram,0.2,51764,0.8
09/02/2016,2131,2224,MNET,Chicago Pd,Dram,0.1,47983,0.7
08/02/2016,2131,2220,MNET,Code Black,News,0.1,46129,0.7
09/02/2016,1800,1824,MNET,Mom,Sitc,0.1,45367,0.6
"","","","","","","",Adults 15+ years U:33643 
"","","","","","","",S:8017
Day ,Date ,From ,To ,Station ,ProgrammeTitle Genre ,"",AR Viewers Share
Sun ,21/02/2016 ,1906 ,"",2004 MZAN ,Our Perfect Wedding (Mag) Maga ,"",3.5 1194219 12.3
Thur ,18/02/2016 ,2030 ,"",2059 MZAN ,Isibaya Dram ,"",3 1014707 9.7
Sun ,21/02/2016 ,2005 ,"",2105 MZAN ,Saints and Sinners[drama] Dram ,"",2.7 897825 9.6
Sun ,21/02/2016 ,1730 ,"",1903 MZAN ,Clash of the Choirs Musi ,"",2.3 767157 9.3
Sun ,14/02/2016 ,1630 ,"",1729 MZAN ,Date My Family Real ,"",1 320026 4.8
Wed ,10/02/2016 ,2000 ,"",2026 MZAN ,Diski Divas Vari ,"",0.8 255204 2.5
Sun ,21/02/2016 ,2106 ,"",2233 MZAN ,One in the Chamber Movi ,"",0.7 225462 4
Tue ,16/02/2016 ,2000 ,"",2029 MZAN ,Utatakho Real ,"",0.7 220215 2
Sat ,27/02/2016 ,1930 ,"",2027 MZAN ,Emthonjeni Wothando Vari ,"",0.6 211390 2.4
Sat ,20/02/2016 ,2029 ,"",2150 MZAN ,Little One Dram ,"",0.6 207913 2.7
Sun ,14/02/2016 ,2102 ,"",2248 MZAN ,Tyler Perrys Temptation ConfesMovi ,"",0.6 205489 4
Sat ,13/02/2016 ,1930 ,"",2027 MZAN ,Surviving the Family Vari ,"",0.6 195456 2.4
Sat ,13/02/2016 ,1830 ,"",1858 MZAN ,Diski Divas -R Vari ,"",0.6 193537 2.8
Sat ,13/02/2016 ,1900 ,"",1927 MZAN ,Ezase Afro:the Empire Vari ,"",0.6 186543 2.5
Mon ,15/02/2016 ,2000 ,"",2030 MZAN ,Please Step in Vari ,"",0.5 184181 1.8
Sun ,07/02/2016 ,2100 ,"",2253 MZAN ,Dead Man Down Movi ,"",0.5 172407 3.2
Sat ,27/02/2016 ,1800 ,"",1827 MZAN ,Utatakho -R Real ,"",0.5 171778 2.7
Sat ,06/02/2016 ,1931 ,"",2024 MZAN ,Mletheni Dram ,"",0.5 166146 2.1
Thur ,25/02/2016 ,2100 ,"",2130 MZAN ,Zabalaza Dram ,"",0.5 157039 1.6
Sat ,20/02/2016 ,1930 ,"",2026 MZAN ,Fong Kong Pastor Dram ,"",0.4 143278 1.8
"","","","","","","",Adults 15+ years U:33643 S:8017
Day ,Date ,From ,To ,Station ,ProgrammeTitle Genre ,"",AR Viewers Share
Mon ,22/02/2016 ,2029 ,"",2059 S1 ,Uzalo Dram ,"",22.9 7688722 68.2
Wed ,17/02/2016 ,2002 ,"",2032 S1 ,Generations the Legacy Soap ,"",21.8 7349808 65.9
Tue ,16/02/2016 ,1834 ,"",1903 S1 ,Skeem Saam Dram ,"",18.1 6104624 60.8
Thur ,25/02/2016 ,2030 ,"",2059 S1 ,Mfolozi Street Dram ,"",15.3 5130989 48.4
Tue ,16/02/2016 ,1830 ,"",1834 S1 ,Vodacom Yebo Millionaires Quiz ,"",15.1 5095662 60.9
Thur ,04/02/2016 ,2036 ,"",2104 S1 ,Ngempela Dram ,"",14.1 4748403 45.5
Wed ,10/02/2016 ,1930 ,"",2127 S1 ,Absa Premiership Orlando PSpor ,"",13.1 4400683 42.6
Mon ,22/02/2016 ,1900 ,"",1930 S1 ,Zulu News News ,"",12.3 4134302 40.4
Fri ,12/02/2016 ,2031 ,"",2100 S1 ,Jab Dram ,"",12.1 4086582 40
Tue ,16/02/2016 ,1903 ,"",1932 S1 ,Xhosa News News ,"",11.9 3992467 40.7
Mon ,22/02/2016 ,1930 ,"",2001 S1 ,Ses Top La Sitc ,"",11.4 3844718 36.8
Sat ,27/02/2016 ,2001 ,"",2231 S1 ,Metro FM Music Awards Vari ,"",11.4 3833598 48.7
Tue ,16/02/2016 ,1933 ,"",2003 S1 ,Selimathunzi Vari ,"",10.5 3530609 35.6
Fri ,05/02/2016 ,2028 ,"",2100 S1 ,The Dance Dram ,"",10.3 3454913 35
Wed ,10/02/2016 ,1928 ,"",1930 S1 ,Soccer Build- up Spor ,"",10.2 3426814 35.8
Thur ,25/02/2016 ,1929 ,"",1959 S1 ,Zaziwa Vari ,"",10.1 3410332 34.2
Mon ,01/02/2016 ,1930 ,"",2000 S1 ,My Perfect Family Sitc ,"",9.2 3086838 33.4
Tue ,16/02/2016 ,1804 ,"",1830 S1 ,Nyan Nyan Real ,"",8.8 2973339 41.7
Fri ,05/02/2016 ,1930 ,"",2000 S1 ,Jika Ma Jika Musi ,"",8.8 2970784 32.3
Fri ,12/02/2016 ,1930 ,"",2000 S1 ,Live Amp Musi ,"",8.1 2735131 29.4
"","","","","","","",Adults 15+ years U:33643 
"","","","","","","",S:8017
Day ,Date ,From ,To ,Station ,ProgrammeTitle Genre ,"",AR Viewers Share
Mon ,22/02/2016 ,2100 ,"",2131 S2 ,Muvhango Dram ,"",18.5 6210851 58.4
Wed ,24/02/2016 ,2100 ,"",2104 S2 ,Lotto Draw Live Quiz ,"",14 4719107 48.7
Thur ,11/02/2016 ,2129 ,"",2159 S2 ,7De Laan Soap ,"",9.5 3207151 39.2
Fri ,05/02/2016 ,2131 ,"",2200 S2 ,Gaabo Motho Dram ,"",8.1 2727592 35.7
Thur ,25/02/2016 ,2130 ,"",2200 S2 ,Speak Out Actu ,"",8 2693971 37.1
Mon ,29/02/2016 ,2131 ,"",2201 S2 ,Abo Mzala -R Sitc ,"",7.5 2511252 34.6
Mon ,01/02/2016 ,2130 ,"",2158 S2 ,Abo Mzala Sitc ,"",7.4 2480783 31.3
Thur ,11/02/2016 ,1800 ,"",2129 S2 ,State of the Nation Address 201 Actu ,"",7.4 2473909 25.3
Sun ,21/02/2016 ,1930 ,"",2000 S2 ,Skwizas Sitc ,"",5.7 1923374 19.6
Tue ,16/02/2016 ,2130 ,"",2200 S2 ,Visionaries Lounge Maga ,"",5 1693463 23.5
Fri ,05/02/2016 ,2200 ,"",2230 S2 ,Mmampodi Dram ,"",4.5 1529654 25.5
Mon ,01/02/2016 ,2056 ,"",2059 S2 ,Behind the Scenes:Showville Docu ,"",4.5 1512226 6.1
Wed ,24/02/2016 ,1900 ,"",1930 S2 ,Nuus News ,"",4.2 1407600 13.6
Wed ,17/02/2016 ,2135 ,"",2203 S2 ,90 Plein Street Dram ,"",4.1 1379584 25.7
Sun ,14/02/2016 ,2000 ,"",2055 S2 ,It's Gospel Time Musi ,"",3.9 1312268 15.6
Tue ,23/02/2016 ,1600 ,"",1700 S2 ,Hectic Nine - 9 Yent ,"",3.8 1274368 27.7
Fri ,05/02/2016 ,2000 ,"",2100 S2 ,Noot Vir Noot Musi ,"",3.7 1250784 12.8
Sat ,06/02/2016 ,1559 ,"",1759 S2 ,Maid in Manhattan Movi ,"",3.7 1234586 21.2
Sat ,13/02/2016 ,1559 ,"",1759 S2 ,You Again Movi ,"",3.6 1225691 20.5
Thur ,18/02/2016 ,2200 ,"",2229 S2 ,When Duty Calls Actu ,"",3.6 1208405 25.4
"","","","","","","",Adults 15+ years U:33643 
"","","","","","","",S:8017
Day ,Date ,From ,To ,Station ,ProgrammeTitle Genre ,"",AR Viewers Share
Thur ,18/02/2016 ,1800 ,"",1828 S3 ,The Bold and the Beautiful Soap ,"",4.4 1489593 22
Fri ,26/02/2016 ,1800 ,"",1827 S3 ,The Bold and the Beautiful -O Soap ,"",3.5 1187405 18.4
Thur ,11/02/2016 ,1900 ,"",1929 S3 ,Isidingo:the Need Soap ,"",3.3 1096438 11.3
Fri ,12/02/2016 ,1842 ,"",2144 S3 ,Momentum One Day International:SouSpor ,"",3.1 1040040 10.8
Sun ,21/02/2016 ,1429 ,"",1754 S3 ,Kfc T20 International:South Africa vs EnSpor ,"",3 1008043 14.6
Mon ,08/02/2016 ,1756 ,"",1759 S3 ,Filler:21 Icons South Africa Docu ,"",2.9 961107 19.8
Wed ,24/02/2016 ,1659 ,"",1748 S3 ,Days of Our Lives Soap ,"",2.8 953777 17.1
Sun ,07/02/2016 ,1830 ,"",1858 S3 ,News News ,"",2.5 831428 11.7
Wed ,17/02/2016 ,1930 ,"",2000 S3 ,High Rollers Dram ,"",2.2 753982 7.1
Wed ,10/02/2016 ,2001 ,"",2059 S3 ,Roer Jou Voete Dram ,"",2.2 744420 7.1
Tue ,16/02/2016 ,2200 ,"",2255 S3 ,Botched Docu ,"",2.1 694282 15.2
Sat ,13/02/2016 ,2133 ,"",2327 S3 ,Hall Pass Movi ,"",2 662479 14.3
Fri ,19/02/2016 ,1730 ,"",1800 S3 ,Cricket Build up Spor ,"",1.9 652745 12.2
Tue ,02/02/2016 ,2100 ,"",2153 S3 ,Nikita Dram ,"",1.9 647246 6.9
Sat ,13/02/2016 ,1930 ,"",2132 S3 ,Definately Maybe Movi ,"",1.9 642275 8
Wed ,24/02/2016 ,2000 ,"",2053 S3 ,The Mentalist Dram ,"",1.9 630479 5.5
Sun ,07/02/2016 ,1729 ,"",1829 S3 ,Secrets of Nature Docu ,"",1.8 607514 8.8
Sat ,20/02/2016 ,1930 ,"",2129 S3 ,Big Miracle Movi ,"",1.8 596586 7.6
Thur ,18/02/2016 ,2031 ,"",2106 S3 ,Lorraine's Fast Fresh & Easy Food Maga ,"",1.7 579091 5.5
Sat ,06/02/2016 ,2130 ,"",2342 S3 ,The Five-Year Engagement Movi ,"",1.7 578347 12.7
"Adults 15+ years U:33643 S:8017Day Date From To Station ProgrammeTitle Genre AR Viewers Share","","","","","","","","",""
Thur,18/02/2016,1650,1715,TLC,Cake Boss,Docu,0.3,87961,1.7
Mon,01/02/2016,1717,1742,TLC,Kitchen Boss,Maga,0.2,78899,1.6
Fri,05/02/2016,2152,2246,TLC,Last Chance Salon,Maga,0.2,79075,1.4
Tue,09/02/2016,2152,2245,TLC,Monsters Inside Me,Docu,0.2,75226,1.6
Fri,26/02/2016,2057,2150,TLC,Body Bizarre,Docu,0.2,72990,0.8
Fri,19/02/2016,2202,2245,TLC,Last Chance in Thailand,News,0.2,70966,1.2
Thur,18/02/2016,2152,2245,TLC,Age Gap Love,Real,0.2,69482,1.5
Tue,16/02/2016,2057,2242,TLC,Oprah Winfrey Leadership Academy for Gir,Vari,0.2,65044,0.9
Mon,15/02/2016,2057,2150,TLC,Tina Malone My New Body,Real,0.2,62042,0.7
Thur,18/02/2016,2056,2149,TLC,Married by Mum & Dad,Real,0.2,59871,0.7
Sat,13/02/2016,2056,2149,TLC,Botched up Bodies,Real,0.2,55151,0.8
Wed,10/02/2016,2000,2054,TLC,90 Days to Wed,Real,0.2,54797,0.5
Mon,15/02/2016,2153,2246,TLC,Men in Rubber Masks,Docu,0.2,54568,1.2
Wed,24/02/2016,1745,1837,TLC,My Teen Is Pregnant and So Am I,Real,0.2,53403,0.7
Mon,01/02/2016,1745,1837,TLC,Secretly Pregnant,Docu,0.2,53603,0.9
Mon,29/02/2016,2153,2246,TLC,Extreme Cougar Wives,Maga,0.2,53130,1.1
Wed,10/02/2016,1935,2000,TLC,Long Island Medium,Real,0.1,50318,0.5
Sat,20/02/2016,1649,1714,TLC,I Didn't Know  I Was Pregnant,Docu,0.1,45985,0.8
Mon,01/02/2016,2152,2245,TLC,An Hour to Save Your Life,Real,0.1,45348,0.9
Wed,10/02/2016,2152,2246,TLC,The Day I Almost Died,Real,0.1,43895,0.8
"","","","","","","","","",""
